id,state,Adana,Adiyaman,Afyonkarahisar,Agri,Amasya,Ankara,Antalya,Artvin,Aydin,Balikesir,Bilecik,Bingol,Bitlis,Bolu,Burdur,Bursa,Canakkale,Cankiri,Corum,Denizli,Diyarbakir,Edirne,Elazig,Erzincan,Erzurum,Eskisehir,Gaziantep,Giresun,Gumushane,Hakkari,Hatay,Isparta,Mersin,Istanbul,Izmir,Kars,Kastamonu,Kayseri,Kirklareli,Kirsehir,Kocaeli,Konya,Kutahya,Malatya,Manisa,Kahramanmaras,Mardin,Mugla,Mus,Nevsehir,Nigde,Ordu,Rize,Sakarya,Samsun,Siirt,Sinop,Sivas,Tekirdag,Tokat,Trabzon,Tunceli,Sanliurfa,Usak,Van,Yozgat,Zonguldak,Aksaray,Bayburt,Karaman,Kirikkale,Batman,Sirnak,Bartin,Ardahan,Igdir,Yalova,Karabuk,Kilis,Osmaniye,Duzce,total_imm,total_emm,diff,color
52,Ordu,68,19,61,37,239,2189,410,93,137,129,49,35,17,103,27,633,109,40,94,98,61,93,60,78,308,225,48,703,105,16,57,84,109,14566,677,45,84,104,95,31,1110,222,56,49,162,27,30,237,33,43,40,0,313,281,3450,17,95,196,706,597,542,25,59,46,68,60,132,36,28,36,74,36,22,31,27,17,99,31,7,21,99,30335,31296,-961,#FF8F8F
53,Rize,69,34,49,46,37,877,180,444,89,117,24,12,4,49,10,460,70,9,40,86,42,31,22,40,454,95,42,193,72,6,42,37,85,5828,490,53,20,34,17,19,390,101,19,25,84,26,14,90,9,18,34,250,0,172,846,7,45,52,102,58,1344,5,25,16,75,29,55,17,21,11,19,11,4,18,15,19,106,25,3,18,69,12428,14575,-2147,#FF5F5F
54,Sakarya,190,26,124,133,44,1142,316,84,133,268,310,30,61,391,40,868,95,70,83,108,139,119,69,60,214,420,93,169,30,22,113,74,141,6401,518,60,70,113,113,23,3051,220,82,85,122,64,50,160,58,33,38,260,177,0,208,57,40,111,282,126,691,16,73,31,142,92,314,48,35,29,55,34,39,71,32,50,212,81,17,83,819,25376,21665,3711,#0085DC
55,Samsun,211,52,117,92,1148,3834,664,230,257,256,85,22,83,110,50,2533,147,104,472,135,111,150,135,145,368,570,166,653,211,31,161,109,183,11728,944,75,329,236,84,71,962,373,86,120,153,71,52,250,56,61,73,2526,466,334,0,27,711,345,1214,963,2009,6,108,38,107,161,223,72,70,42,169,25,65,85,32,43,128,132,15,47,99,38874,39581,-707,#FF9898
56,Siirt,542,62,34,17,42,616,168,11,165,100,56,26,212,47,23,287,62,15,54,65,393,55,70,21,42,66,251,33,9,15,109,127,448,3546,303,26,29,83,34,19,149,123,44,61,138,56,60,94,29,17,42,52,16,42,59,0,15,47,125,39,35,7,85,32,326,34,21,32,7,22,38,1233,235,9,3,6,86,20,25,37,13,8475,11797,-3322,#FF2828
57,Sinop,39,12,25,19,73,469,123,24,43,52,56,19,9,45,17,154,34,82,92,39,30,23,11,17,29,74,18,69,18,0,19,39,40,4449,157,16,359,31,26,14,321,59,18,27,51,14,23,54,28,10,21,101,29,64,765,3,0,30,404,77,124,10,13,4,12,155,60,18,14,17,18,12,8,29,1,10,8,49,4,10,18,9562,9558,4,#25A8FF
58,Sivas,273,60,96,112,146,2819,983,31,210,269,43,28,31,65,27,727,142,49,155,123,87,46,115,217,274,191,175,169,52,15,190,87,439,8524,2313,42,65,3213,29,100,632,363,81,483,189,161,45,230,18,118,117,173,46,189,401,27,44,0,167,773,198,14,104,45,68,317,90,68,17,38,150,32,51,73,14,22,113,54,6,74,48,23217,28585,-5368,#E00000
59,Tekirdag,256,87,114,246,107,1060,366,32,181,538,64,22,95,101,32,623,508,56,72,147,180,2055,97,77,273,373,151,73,46,37,179,112,227,10236,869,227,97,180,1550,48,562,389,122,228,195,139,116,160,100,46,88,548,90,312,739,71,171,179,0,415,284,42,195,77,313,105,414,104,22,33,188,76,55,98,50,99,98,102,27,111,109,37655,29066,8589,#0081D5
60,Tokat,166,27,66,51,748,2962,479,39,118,192,39,18,56,62,32,699,82,117,287,69,125,80,93,111,254,199,77,141,44,19,96,70,165,17185,1194,45,89,322,69,74,1098,228,84,84,137,92,33,181,35,39,41,455,52,211,1445,33,69,804,848,0,275,22,89,43,82,261,61,40,18,67,125,15,63,35,12,27,97,47,11,47,46,32655,34213,-1558,#FF8F8F
61,Trabzon,114,32,63,178,123,1833,353,276,149,261,43,43,61,73,20,969,86,46,106,77,93,86,120,237,754,195,95,855,727,20,137,53,180,8194,668,80,92,137,93,39,1279,253,61,67,126,80,43,154,28,44,38,519,1268,636,1701,36,108,149,317,169,0,20,58,46,151,84,304,55,202,17,85,39,70,44,40,35,122,81,14,15,155,36868,26474,10394,#0077C5
